file,function,start_line,end_line
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/ipynb/notebook-out/cellAttachmentRenderer.js","p",1,1
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/editor.ts","acquireVsCodeApi",21,115
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/editor.ts","constructor",32,61
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","fontStyleRules",43,56
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","colorRules",58,60
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","classNameFor",62,67
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","makeSnapshot",69,74
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","unstyledTokens",76,78
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/markdown-editor-src/syntaxHighlighter.ts","adjustTokens",86,94
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/markdown-language-features/media/pre.js","a",1,1
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/audioPreview.js","getSettings",12,22
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/audioPreview.js","onLoaded",37,46
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","clamp",15,17
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","getSettings",19,29
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","updateScale",81,134
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","setActive",136,152
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","firstZoom",154,168
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","zoomIn",170,182
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","zoomOut",184,196
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/imagePreview.js","copyImage",390,415
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/videoPreview.js","getSettings",12,22
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/media-preview/media/videoPreview.js","onLoaded",40,49
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/ms-vscode.js-debug/src/targets/node/terminateProcess.sh","terminateTree",6,11
".vscode-test/vscode-linux-x64-1.126.0/resources/app/extensions/simple-browser/media/index.js","c",1,1
".vscode-test/vscode-linux-x64-1.127.0/resources/app/extensions/ipynb/notebook-out/cellAttachmentRenderer.js","p",1,1
".vscode-test/vscode-linux-x64-1.127.0/resources/app/extensions/markdown-language-features/markdown-editor-src/editor.ts","acquireVsCodeApi",21,117
